"CBSA","CSA","Type","Name"
"16900","172","Micro","Chester, SC"
"16940",,"Metro","Cheyenne, WY"
"16974",,"Div","Chicago-Joliet-Naperville, IL"
"16980","176","Metro","Chicago-Joliet-Naperville, IL-IN-WI"
"17020",,"Metro","Chico, CA"
"17060","198","Micro","Chillicothe, OH"
"17140","178","Metro","Cincinnati-Middletown, OH-KY-IN"
"17200","180","Micro","Claremont, NH"
"17220","242","Micro","Clarksburg, WV"
"17260",,"Micro","Clarksdale, MS"
"17300",,"Metro","Clarksville, TN-KY"
"17340",,"Micro","Clearlake, CA"
"17380",,"Micro","Cleveland, MS"
"17420","174","Metro","Cleveland, TN"
"17460","184","Metro","Cleveland-Elyria-Mentor, OH"
"17500",,"Micro","Clewiston, FL"
"17540",,"Micro","Clinton, IA"
"17580","188","Micro","Clovis, NM"
"17620","434","Micro","Coamo, PR"
"17660",,"Metro","Coeur d'Alene, ID"
"17700",,"Micro","Coffeyville, KS"
"17740",,"Micro","Coldwater, MI"
"17780",,"Metro","College Station-Bryan, TX"
"17820",,"Metro","Colorado Springs, CO"
"17860",,"Metro","Columbia, MO"
"17900","192","Metro","Columbia, SC"
"17940","400","Micro","Columbia, TN"
"17980","194","Metro","Columbus, GA-AL"
"18020","294","Metro","Columbus, IN"
"18060","200","Micro","Columbus, MS"
"18100",,"Micro","Columbus, NE"
"18140","198","Metro","Columbus, OH"
"18180","148","Micro","Concord, NH"
"18220",,"Micro","Connersville, IN"
"18260",,"Micro","Cookeville, TN"
"18300",,"Micro","Coos Bay, OR"
"18340","202","Micro","Corbin, KY"
"18380",,"Micro","Cordele, GA"
"18420",,"Micro","Corinth, MS"
"18460",,"Micro","Cornelia, GA"
"18500",,"Micro","Corning, NY"
"18580","204","Metro","Corpus Christi, TX"
"18620",,"Micro","Corsicana, TX"
"18660","296","Micro","Cortland, NY"
"18700","102","Metro","Corvallis, OR"
"18740",,"Micro","Coshocton, OH"
"18820","294","Micro","Crawfordsville, IN"
"18860",,"Micro","Crescent City, CA"
